text,intent,slot
quickly go to google.com??,open_url,google.com
pls trash script.py lol.,delete_file,script.py
"um, open chatgpt.com if possible",open_url,chatgpt.com
could you new folder Family now,create_folder,Family
please sign out!,logout,
"actually, open WebStorm and then open Teams when you can.",multi_intent,WebStorm;Teams
could you turn off sound ty.,mute,
hey shut down gchrome please,close_app,Google Chrome
"okay, shutdown now when you can",shutdown_pc,
"actually, take me to settings real quick.",open_settings,
"okay, make folder Images now",create_folder,Images
"ok, play the next track if possible??",next_song,
PlEase EmPTY trAsH!,empty_recycle_bin,
kindly search for best laptops 2026!,search_web,best laptops 2026
"ok, i need to change a setting right now??",open_settings,
please quit studio when you can,close_app,Android Studio
can you run python app.py real quick.,run_command,python app.py
bro log me out for me.,logout,
open Excel please!,open_app,Excel
kindly tell me about the chat app project,general_chat,
can you move resume.json asap,move_file,resume.json
kindly delete folder vacation when you can,delete_folder,Vacation
yo take me to settings for me,open_settings,
"um, terminate Premiere Pro now",close_app,Premiere Pro
bro previous song now??,previous_song,
hey look up cheap flights to goa real quick,search_web,cheap flights to goa
please shut Apple Music off for me,close_app,Apple Music
can you Minecraft Launcher has a memory leak when you can,general_chat,
hey rename syllabus.md to newname now.,rename_file,syllabus.md
bro previous song please for the dbms lab,previous_song,
quickly VLC has a memory leak thanks.,general_chat,
"actually, Portfolio v2 is amazing for me",general_chat,
delete assignment2.py,delete_file,assignment2.py
can you search for how to center a div right now,search_web,how to center a div
"uh, play something right now",play_music,
could you please open Premiere Pro if possible,open_app,Premiere Pro
"so, trash config.py",delete_file,config.py
"uh, hi please",general_chat,
hey make folder archive.,create_folder,Archive
"actually, search for cheap flights to goa if possible",search_web,cheap flights to goa
"ok, execute git merge ty.",run_command,git merge
bro create folder OS and then open it now.,multi_intent,OS
could you rename dbms_notes.docx to newname!,rename_file,dbms_notes.docx
"so, launch Photoshop after launch Discord now!!",multi_intent,Photoshop;Discord
please execute docker build thanks.,run_command,docker build
bro where is README.pptx thanks,search_file,README.pptx
bro create folder Backup lol!,create_folder,Backup
mUTe The SoUnd PlEaSE.,mute,
"um, lower the brightness right now it's lagging??",brightness_down,
shutdown now.,shutdown_pc,
kindly power off ty,shutdown_pc,
can you set up a folder for java thanks...,create_folder,Java
close Spotify and then open Chrome Canary now,multi_intent,Spotify;Chrome Canary
quickly capture the screen ty.,take_screenshot,
"uh, run command docker compose up for today's work.",run_command,docker compose up
could you open my summaize project asap.,open_project,SummAize
hey screenshot this if possible,take_screenshot,
can you run git merge now,run_command,git merge
can you get rid of the file README.docx lol,delete_file,README.docx
caN yOU i nEEd A NEW FolDeR CALLed colleGe THANKS.,create_folder,College
bro google best laptops 2026 if possible,search_web,best laptops 2026
yo duplicate test_cases.xlsx real quick!!,copy_file,test_cases.xlsx
"um, get rid of the School folder ty",delete_folder,School
"um, delete summary.pptx when you can because I need Gmail.",delete_file,summary.pptx
plz spIn up ChrOme CaNarY iF PossiBlE.,open_app,Chrome Canary
hey make the screen brighter lol,brightness_up,
plz open settings now before the meeting,open_settings,
"okay, open Outlook for me",open_app,Outlook
trash the Archive folder,delete_folder,Archive
"so, search for python vs javascript thanks",search_web,python vs javascript
plz open powerpoint and then open premiere pro for me!,multi_intent,PowerPoint;Premiere Pro
would you delete folder games thanks!,delete_folder,Games
plz I need WebStorm shut down now please,close_app,WebStorm
bro remove folder Downloads thanks,delete_folder,Downloads
would you shutdown now.,shutdown_pc,
could you close Paint,close_app,Paint
"um, sleep now when you can",sleep_pc,
plz unmute it!!,unmute,
PLEASE LOWER THE BRIGHTNESS,brightness_down,
please play a song.,play_music,
"okay, duplicate timetable.html when you can",copy_file,timetable.html
please Lightroom isn't opening for some reason thanks,general_chat,
would you ...... right now,unknown,
"so, i'm looking for notes_final.pptx asap",search_file,notes_final.pptx
can you close google chrome lol,close_app,Google Chrome
"actually, make folder Assignments",create_folder,Assignments
quickly rename folder work thanks!,rename_folder,Work
yo start playing music right now!,play_music,
pls previous song when you can,previous_song,
can you delete final_report.md for me!,delete_file,final_report.md
bro what tech stack did i use for calculator app ty.,general_chat,
"ok, move project_proposal to another folder lol",move_file,project_proposal
yo run pip freeze now.,run_command,pip freeze
"actually, empty the recycle bin right now??",empty_recycle_bin,
hey reboot the pc lol,restart_pc,
can you close Chrome Beta lol,close_app,Chrome Beta
quickly launch project react app real quick,open_project,React App
quickly search for weather bengaluru right now,search_web,weather bengaluru
pls create directory Videos right now!,create_folder,Videos
pls get intellij running if possible i forgot where it is,open_app,IntelliJ
would you start playing music real quick.,play_music,
plz go back a track ty for the DBMS lab,previous_song,
"um, pause it??",pause_music,
"ok, take me to gmail.com if possible",open_url,gmail.com
"um, reboot now asap",restart_pc,
"actually, start project Habit Tracker for me for today's work",open_project,Habit Tracker
could you make a folder called dbms now for the dbms lab.,create_folder,DBMS
bro brightness up when you can??,brightness_up,
plz i want to use task manager if possible!!,open_app,Task Manager
pls search for python vs javascript right now.,search_web,python vs javascript
hey increase volume right now!,volume_up,
pls sublime text uses too much ram.,general_chat,
"okay, make a folder called Pictures thanks",create_folder,Pictures
rename folder DBMS thanks,rename_folder,DBMS
could you unmute for me,unmute,
can you rename resume_final.css ty...,rename_file,resume_final.css
"ok, rename the file resume for me",rename_file,resume
"actually, duplicate utils ty.",copy_file,utils
yo unpause it ty,resume_music,
could you pause music please!!,pause_music,
would you launch youtube music,open_app,YouTube Music
kindly pull up recipe app project asap!,open_project,Recipe App
"um, turn the volume down please because i need gmail",volume_down,
"uh, pause it right now",pause_music,
yo load project summaize when you can,open_project,SummAize
"um, screenshot this for me for today's work",take_screenshot,
"um, turn sound back on thanks",unmute,
hey make a copy of todo.txt before the meeting.,copy_file,todo.txt
can you rename meeting_notes.pptx for me for today's work,rename_file,meeting_notes.pptx
"so, google cheap flights to goa",search_web,cheap flights to goa
quickly turn sound back on asap.,unmute,
would you screenshot this for today's assignment.,take_screenshot,
could you play the next track ty,next_song,
yo load project marketshield right now,open_project,MarketShield
"uh, silence it!",mute,
quickly take me to settings,open_settings,
"okay, continue playing",resume_music,
can you start playing music asap it's lagging.,play_music,
plz look up how to center a div when you can!!,search_web,how to center a div
hey rename the file project_proposal.xlsx!,rename_file,project_proposal.xlsx
pls increase volume lol!!,volume_up,
can you move dockerfile.pptx lol,move_file,Dockerfile.pptx
pls I like IEEE Paper please,general_chat,
"um, I need to change a setting right now",open_settings,
"so, open project ParcelVision now!",open_project,ParcelVision
"so, reboot the pc real quick I need it urgently.",restart_pc,
hey rename folder Screenshots thanks I need it urgently,rename_folder,Screenshots
quickly move utils.pdf to another folder ty because i need gmail,move_file,utils.pdf
"uh, search for best laptops 2026!",search_web,best laptops 2026
"uh, make folder school",create_folder,School
"UH, MOVE SUMMARY.CSS TO DESKTOP IF POSSIBLE",move_file,summary.css
"um, rename folder school now",rename_folder,School
pls quit OneNote real quick,close_app,OneNote
"um, is Blog Site better than its competitors if possible!!",general_chat,
"actually, get rid of chrome beta!",close_app,Chrome Beta
kindly search for final_report.css thanks!,search_file,final_report.css
"ok, terminate Git Bash lol",close_app,Git Bash
"OK, moVe pRESeNTaTion_dRaft.htML tO deSKTOP",move_file,presentation_draft.html
please empty the recycle bin thanks,empty_recycle_bin,
"ok, Visual Studio uses too much RAM right now",general_chat,
please search for weather bengaluru for me.,search_web,weather bengaluru
pls create folder Videos right now.,create_folder,Videos
yo rename invoice.py to newname,rename_file,invoice.py
yo xyzxyz asap...,unknown,
"actually, delete folder resume right now",delete_folder,Resume
"uh, kill Google Docs",close_app,Google Docs
"um, terminate Visual Studio.",close_app,Visual Studio
quickly move LICENSE.html to another folder now I forgot where it is,move_file,LICENSE.html
"okay, what did i copy earlier lol",clipboard_history,
would you go to chatgpt.com ty,open_url,chatgpt.com
"OKAY, UNMUTE IT ASAP",unmute,
kindly start playing music when you can...,play_music,
"so, make a folder called os!",create_folder,OS
please log me out thanks...,logout,
CAN YOU RENAME TIMETABLE.HTML PLEASE!,rename_file,timetable.html
"ok, shutdown...",shutdown_pc,
COULD YOU TASK MANAGER IS MY FAVORITE APP WHEN YOU CAN,general_chat,
would you rename resume.html to newname if possible,rename_file,resume.html
hey find timetable.docx then open it!,multi_intent,timetable.docx
can you open the expense tracker project!!,open_project,Expense Tracker
"ok, power off real quick",shutdown_pc,
BRO MAKE FOLDER DOWNLOADS LOL FOR THE DBMS LAB,create_folder,Downloads
please take me to gmail.com thanks,open_url,gmail.com
can you run command npm test if possible.,run_command,npm test
hey launch project Weather App!,open_project,Weather App
bro open file index.txt real quick,search_file,index.txt
can you capture the screen please.,take_screenshot,
can you rename utils.pptx,rename_file,utils.pptx
hey execute docker build,run_command,docker build
go to github.com,open_url,github.com
please create folder Backup asap,create_folder,Backup
"okay, run command code .",run_command,code .
"um, load project Chat App when you can before the meeting!",open_project,Chat App
can you run conda activate,run_command,conda activate
"okay, open system settings if possible",open_settings,
"so, hey there asap.",general_chat,
